区分名称,予備区分名称,生活習慣病フラグ,救急フラグ,データ区分,大項目,FHIR項目名称,FHIR識別文字列,略称,販売名称,材料(JLAC11),測定法(JLAC11),JLAC11コード,単位,材料(JLAC10),検査方法(JLAC10-測定法),JLAC10コード,基準値フラグ(下限),基準値フラグ(上限),基準値フラグ(判定),データタイプ,値の下限,値の上限,数値型の場合の形式,コード型の場合の値リスト,コード型のOID,並び順,適用開始日,適用終了日,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,AUリエージェント TP,血漿,可視吸光光度法_AUリエージェント TP,C1002000024000755,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP-S ニットーボー,血清,可視吸光光度法_N-アッセイ L TP-S ニットーボー,C1002000025000855,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP-S ニットーボー,血漿(EDTA入り),可視吸光光度法_N-アッセイ L TP-S ニットーボー,C1002000024200855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP-S ニットーボー,血漿(ヘパリン入り),可視吸光光度法_N-アッセイ L TP-S ニットーボー,C1002000024300855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP-S ニットーボー,血漿(クエン酸入り),可視吸光光度法_N-アッセイ L TP-S ニットーボー,C1002000024400855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP-S ニットーボー,血漿,可視吸光光度法_N-アッセイ L TP-S ニットーボー,C1002000024000855,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP ニットーボー,血清,可視吸光光度法_N-アッセイ L TP ニットーボー,C1002000025000955,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP ニットーボー,血漿(EDTA入り),可視吸光光度法_N-アッセイ L TP ニットーボー,C1002000024200955,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP ニットーボー,血漿(ヘパリン入り),可視吸光光度法_N-アッセイ L TP ニットーボー,C1002000024300955,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP ニットーボー,血漿(クエン酸入り),可視吸光光度法_N-アッセイ L TP ニットーボー,C1002000024400955,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,N-アッセイ L TP ニットーボー,血漿,可視吸光光度法_N-アッセイ L TP ニットーボー,C1002000024000955,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,エスパ･TP(N),血清,可視吸光光度法_エスパ･TP(N),C1002000025001055,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,エスパ･TP,血清,可視吸光光度法_エスパ･TP,C1002000025001155,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,シンクロンシステム 総タンパク試薬,血清,可視吸光光度法_シンクロンシステム 総タンパク試薬,C1002000025001255,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,シンクロンシステム 総タンパク試薬,血漿(EDTA入り),可視吸光光度法_シンクロンシステム 総タンパク試薬,C1002000024201255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
